,Movies,Year,Runtime,Imdb rating,Metascores,Votes,Gross (in millions)
0,Knives Out,2019,130,7.9,82,366091,165.36
1,Dil Bechara,2020,101,8.9,0,96329,
2,Jojo Rabbit,2019,108,7.9,58,246703,0.35
3,Hamilton,2020,160,8.8,90,33759,
4,The Gentlemen,2019,113,7.9,51,173029,
5,Once Upon a Time... In Hollywood,2019,161,7.7,83,500898,142.5
6,Joker,2019,122,8.5,59,842219,335.45
7,Jurassic Park,1993,127,8.1,68,842505,402.45
8,Avengers: Endgame,2019,181,8.4,78,748380,858.37
9,Parasite,2019,132,8.6,96,461524,53.37
10,Inception,2010,148,8.8,74,1993981,292.58
11,Apocalypse Now,1979,147,8.4,94,589491,83.47
12,Little Women,2019,135,7.8,91,119650,108.1
13,The Shawshank Redemption,1994,142,9.3,80,2272772,28.34
14,Interstellar,2014,169,8.6,74,1442142,188.02
15,The Godfather,1972,175,9.2,100,1567908,134.97
16,1917,2019,119,8.3,78,355760,159.23
17,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,623071,317.58
18,Ford v Ferrari,2019,152,8.1,81,246347,117.62
19,The Peanut Butter Falcon,2019,97,7.6,70,46566,13.12
20,Mad Max: Fury Road,2015,120,8.1,90,853798,154.06
21,One Flew Over the Cuckoo's Nest,1975,133,8.7,83,889022,112.0
22,The Dark Knight,2008,152,9.0,84,2235240,534.86
23,Pride & Prejudice,2005,129,7.8,82,246695,38.41
24,Gone Girl,2014,149,8.1,79,830555,167.77
25,The Matrix,1999,136,8.7,73,1627884,171.48
26,The Goonies,1985,114,7.8,62,236139,61.5
27,The Wolf of Wall Street,2013,180,8.2,75,1137403,116.9
28,Inglourious Basterds,2009,153,8.3,69,1226341,120.54
29,Goodfellas,1990,146,8.7,90,988528,46.84
30,Avengers: Infinity War,2018,149,8.4,68,792645,678.82
31,Thor: Ragnarok,2017,130,7.9,74,562184,315.06
32,Back to the Future,1985,116,8.5,87,1024166,210.61
33,Pulp Fiction,1994,154,8.9,94,1775814,107.93
34,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1616276,315.54
35,The Shining,1980,146,8.4,66,866530,44.02
36,No Country for Old Men,2007,122,8.1,91,828873,74.28
37,Gladiator,2000,155,8.5,67,1304767,187.71
38,Titanic,1997,194,7.8,75,1021296,659.33
39,American History X,1998,119,8.5,62,1011955,6.72
40,Moana,2016,107,7.6,81,259652,248.76
41,The Irishman,2019,209,7.9,94,302073,7.0
42,The Silence of the Lambs,1991,118,8.6,85,1230551,130.74
43,Blade Runner 2049,2017,164,8.0,81,438891,92.05
44,The Godfather: Part II,1974,202,9.0,90,1095558,57.3
45,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,887438,34.4
46,Dunkirk,2017,106,7.9,94,527504,188.37
47,The Prestige,2006,130,8.5,66,1151330,53.09
48,Fight Club,1999,139,8.8,66,1802932,37.03
49,The Big Lebowski,1998,117,8.1,71,711412,17.5
50,Spotlight,2015,129,8.1,93,405244,45.06
51,Forrest Gump,1994,142,8.8,82,1750654,330.25
52,Watchmen,2009,162,7.6,56,489881,107.51
53,The Departed,2006,151,8.5,85,1156764,132.38
54,The Green Mile,1999,189,8.6,61,1109170,136.8
55,The Princess Bride,1987,98,8.1,77,384294,30.86
56,Ghostbusters,1984,105,7.8,71,346470,238.63
57,Dazed and Confused,1993,102,7.6,78,161065,7.99
